pair_id,bbox_id,annotated_instance_id,clean_instance_id,annotated_content_id,clean_content_id,annotated_path,clean_path,x,y,w,h,red_ratio,pair_reason
pair_asset_4a60143af235e4d4_asset_297f7e488e946558,92,file_00664230c15bf43f,file_c4ec37986cd6235f,asset_4a60143af235e4d4,asset_297f7e488e946558,ads2\assets\2_communication\manual_rescue_20260611_111718_edit.png,ads2\assets\2_communication\manual_rescue_20260611_111718_original.png,557.1859296482412,354.572864321608,33.768844221105496,22.9145728643216,0.04350,filename_clean_pair
pair_asset_fbfb7241e62d249b_asset_989c6569acc7af32,84,file_02c2144cc30cfbe9,file_7f8ff5b6a7200fb8,asset_fbfb7241e62d249b,asset_989c6569acc7af32,ads2\assets\2_communication\manual_rescue_20260610_153906_edit.png,ads2\assets\2_communication\manual_rescue_20260610_153906_original.png,406.43216080402,401.60804020100494,49.44723618090461,26.532663316582898,0.32025,filename_clean_pair
pair_asset_31248d6ed529be48_asset_0bdebd9b5f09c39e,24,file_0cc3b419504e6c6d,file_f006c768e3968916,asset_31248d6ed529be48,asset_0bdebd9b5f09c39e,ads2\assets\2_communication\manual_rescue_20260607_101333_edit.png,ads2\assets\2_communication\manual_rescue_20260607_101333_original.png,900.9045226130653,24.120603015075375,44.62311557788939,24.120603015075375,0.16011,filename_clean_pair
pair_asset_45b271ddcf104c5f_asset_e616283f4b7706bd,142,file_0ff60244c2316f2f,file_985be4a18038c3c7,asset_45b271ddcf104c5f,asset_e616283f4b7706bd,ads2\assets\2_communication\manual_rescue_20260625_144927_edit.png,ads2\assets\2_communication\manual_rescue_20260625_144927_original.png,908.1407035175879,22.914572864321606,36.18090452261299,20.50251256281407,0.34707,filename_clean_pair
pair_asset_9a6df08755b20a33_asset_afd32a17c45e9e6f,52,file_154d7198b0daa7f8,file_ce677731c403937b,asset_9a6df08755b20a33,asset_afd32a17c45e9e6f,ads2\assets\2_communication\manual_rescue_20260607_161637_edit.png,ads2\assets\2_communication\manual_rescue_20260607_161637_original.png,32.552704336399465,27.902318002628114,64.07198948751642,12.401030223390272,0.37860,filename_clean_pair
pair_asset_0ef85ef6c3008061_asset_84c479c28cc73674,40,file_1922bb97a02f78e7,file_44d80f437474f51b,asset_0ef85ef6c3008061,asset_84c479c28cc73674,ads2\assets\2_communication\manual_rescue_20260607_151902_edit.png,ads2\assets\2_communication\manual_rescue_20260607_151902_original.png,908.1407035175879,24.120603015075375,34.9748743718593,20.50251256281407,0.28586,filename_clean_pair
pair_asset_ab05d9f4b4d29489_asset_b867455dd1ee49b4,5,file_1dc86af4d362d037,file_e86ea26f36534291,asset_ab05d9f4b4d29489,asset_b867455dd1ee49b4,ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,283.72469635627533,340.7287449392713,89.39271255060726,20.728744939271223,0.26316,filename_clean_pair
pair_asset_84d107a9ad22d8c6_asset_8ba1bdf15ecbae79,64,file_29cd8a9b6ed552f6,file_bed48f9ad2be2f33,asset_84d107a9ad22d8c6,asset_8ba1bdf15ecbae79,ads2\assets\2_communication\manual_rescue_20260607_165932_edit.png,ads2\assets\2_communication\manual_rescue_20260607_165932_original.png,911.4114572864319,25.93447236180904,29.639396984924588,18.524623115577885,0.36052,filename_clean_pair
pair_asset_9747d2b044514da5_asset_cdbc112f29c50c6a,17,file_36e3a5114617b811,file_7e8dc83206c303ea,asset_9747d2b044514da5,asset_cdbc112f29c50c6a,ads2\assets\2_communication\manual_rescue_20260607_084044_edit.png,ads2\assets\2_communication\manual_rescue_20260607_084044_original.png,428.1407035175879,143.51758793969847,97.6884422110553,31.356783919598,0.20833,filename_clean_pair
pair_asset_68033ccf05c6f07c_asset_efd1608a9c659131,96,file_3f49ab4910595497,file_5bd2e84e4b65a94b,asset_68033ccf05c6f07c,asset_efd1608a9c659131,ads2\assets\2_communication\manual_rescue_20260613_064842_edit.png,ads2\assets\2_communication\manual_rescue_20260613_064842_original.png,909.3467336683417,21.708542713567795,33.768844221105496,22.9145728643216,0.37745,filename_clean_pair
pair_asset_42d55640f5e0078b_asset_db91c1f09cec9eb8,15,file_4302c7d9cabc3a27,file_884882948f49225e,asset_42d55640f5e0078b,asset_db91c1f09cec9eb8,ads2\assets\2_communication\manual_rescue_20260607_082949_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082949_original.png,428.1407035175879,143.51758793969847,97.6884422110553,31.356783919598,0.12500,filename_clean_pair
pair_asset_35050faa6b11f353_asset_0062ef6acaf85735,80,file_54649dd854c2aebf,file_100daa938b119d8f,asset_35050faa6b11f353,asset_0062ef6acaf85735,ads2\assets\2_communication\manual_rescue_20260610_151332_edit.png,ads2\assets\2_communication\manual_rescue_20260610_151332_original.png,809.2462311557788,467.9396984924623,49.44723618090461,26.532663316582898,0.22727,filename_clean_pair
pair_asset_6cb8dabf6719aa9f_asset_979a7f289e8b2244,44,file_596fe48bf09caa19,file_7bf7eaa14bb5cddc,asset_6cb8dabf6719aa9f,asset_979a7f289e8b2244,ads2\assets\2_communication\manual_rescue_20260607_154252_edit.png,ads2\assets\2_communication\manual_rescue_20260607_154252_original.png,908.1407035175879,24.120603015075375,34.9748743718593,20.50251256281407,0.37422,filename_clean_pair
pair_asset_ee7c08a720254382_asset_003a3c06113bbe55,35,file_6dac895af9d30ef2,file_36c42bd7e00afcdc,asset_ee7c08a720254382,asset_003a3c06113bbe55,ads2\assets\2_communication\manual_rescue_20260607_150413_edit.png,ads2\assets\2_communication\manual_rescue_20260607_150413_original.png,916.5829145728642,24.120603015075375,20.261306532663298,18.33165829145728,0.28340,filename_clean_pair
pair_asset_0d5f9440bc991aa0_asset_011d6b03e2375afe,77,file_756d1099ec107314,file_30d80381e71c4229,asset_0d5f9440bc991aa0,asset_011d6b03e2375afe,ads2\assets\2_communication\manual_rescue_20260609_093141_edit.png,ads2\assets\2_communication\manual_rescue_20260609_093141_original.png,909.2502512562812,23.15577889447236,33.96180904522612,20.84020100502512,0.32114,filename_clean_pair
