instance_id,families,review_status,note,content_id,original_path,relative_path,vision_domain,asset_role,image_scope,source_root,asset_type,representation,sample_role,sub_role,image_review_status
file_b040dd17ca19329c,google_play,reviewed,,asset_1bb199c29d32b6fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads,template,crop,ads2\assets\1_templates,template,edge_glyph,reference_only,,reviewed
file_670c62c5320205f4,arrow,reviewed,,asset_d37ef6afc1bb29cb,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads,template,crop,ads2\assets\1_templates,template,edge_glyph,reference_only,,reviewed
file_bb614e957ab55bfb,uncertain,reviewed,,asset_d6d7c33a252f2dc5,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads,template,crop,ads2\assets\1_templates,template,edge_glyph,reference_only,,reviewed
file_245ef374f6c4268c,google_play,reviewed,,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_c1b82b89ebab2308,x_mark,reviewed,,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_0796700f3e89b234,x_mark,reviewed,,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_ed7ecf2d8c86d633,x_mark,reviewed,,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_e98356e6d5b0d025,arrow,reviewed,,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_ff68673e47bf2194,x_mark,reviewed,,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_0c54c714e6e4e54c,x_mark,reviewed,,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_38f39cb8171bbccd,arrow,reviewed,,asset_f05a7a52f60d291b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_01fce48c5f827243,google_play,reviewed,,asset_ee02f730b82612e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_53f6b240d7847ed6,x_mark,reviewed,,asset_ca994ca16a3dcd00,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_a4f0c7925d120a09,x_mark,reviewed,,asset_2a7b5573529608a3,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
