event_id,review_reasons,proposal_source,template_name,expected_family,expected_p,top_family,top_p,p_x_mark,p_arrow,p_free,p_got,bbox,click_xy,pre_click,bbox_crop,bbox_context_crop,event_dir
20260720_120545_838,expected_low_confidence|expected_top_disagreement|low_top_score,close_template,close_15.png,x_mark,0.035529639882346,arrow,0.6883719364802042,0.035529639882346,0.6883719364802042,0.01602471216271321,0.30242817600568134,"[21, 24, 87, 33]","[64, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120545_838\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120545_838\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120545_838\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120545_838
20260720_120431_596,expected_low_confidence|expected_top_disagreement|low_top_score,close_template,close_15.png,x_mark,0.0409569904829065,arrow,0.6949257055918375,0.0409569904829065,0.6949257055918375,0.016352111163238685,0.3128264794747035,"[21, 24, 87, 33]","[64, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120431_596\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120431_596\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120431_596\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120431_596
20260720_115743_457,expected_low_confidence|expected_top_disagreement|low_top_score,close_template,close_15.png,x_mark,0.046804336830973625,arrow,0.6954102714856466,0.046804336830973625,0.6954102714856466,0.016373054434855778,0.3495110074679057,"[21, 24, 87, 33]","[64, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115743_457\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115743_457\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115743_457\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_115743_457
20260720_130847_331,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.37422991792360943,arrow,0.9586308002471924,0.37422991792360943,0.9586308002471924,0.0857968640824159,0.027677409661312897,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130847_331\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130847_331\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130847_331\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_130847_331
20260720_115722_340,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.40262166659037274,arrow,0.9522456526756287,0.40262166659037274,0.9522456526756287,0.07451802616318066,0.027779571401576202,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115722_340\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115722_340\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115722_340\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_115722_340
20260720_131727_006,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.45093796650568646,arrow,0.9556382695833842,0.45093796650568646,0.9556382695833842,0.05221347759167353,0.04168174167474111,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131727_006\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131727_006\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131727_006\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_131727_006
20260720_120525_036,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.45316871007283527,arrow,0.9533648292223612,0.45316871007283527,0.9533648292223612,0.047345890353123345,0.04294749473532041,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120525_036\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120525_036\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120525_036\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120525_036
20260720_131747_541,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4629531403382619,arrow,0.9615115523338318,0.4629531403382619,0.9615115523338318,0.04455698157350222,0.07578148817022641,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131747_541\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131747_541\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131747_541\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_131747_541
20260720_120450_838,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.47470976909001666,arrow,0.9547586838404337,0.47470976909001666,0.9547586838404337,0.05364827439188957,0.0467423889786005,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120450_838\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120450_838\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120450_838\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120450_838
20260720_130835_707,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.49915794531504315,arrow,0.9465758601824442,0.49915794531504315,0.9465758601824442,0.05358819787700971,0.05687797193725904,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130835_707\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130835_707\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130835_707\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_130835_707
