group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
20260606_042429_roi,1,1,0,1,0,0,0,1.0,1.0,0.0
20260606_044717_roi,1,1,0,1,0,0,0,1.0,1.0,0.0
20260707_160103_33324,5,0,5,0,1,4,0,0.0,0.0,0.2
20260711_004437_69372,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_011142_36488,4,0,4,0,0,4,0,0.0,0.0,0.0
20260711_015228_after,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_094400_67140,6,0,6,0,0,6,0,0.0,0.0,0.0
20260711_105305_54776,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_111953_39056,11,0,11,0,0,11,0,0.0,0.0,0.0
20260711_112228_39056,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_112714_67508,10,0,10,0,0,10,0,0.0,0.0,0.0
20260711_141026_2432,3,0,3,0,0,3,0,0.0,0.0,0.0
20260711_153753_50456,5,0,5,0,1,4,0,0.0,0.0,0.2
20260711_155245_32320,6,0,6,0,1,5,0,0.0,0.0,0.16666666666666666
