group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
20260711_010520_33712,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_011142_36488,4,0,4,0,0,4,0,0.0,0.0,0.0
20260711_080034_68848,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_081443_41084,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_090430_12456,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_093513_29888,9,0,9,0,0,9,0,0.0,0.0,0.0
20260711_093806_46808,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_093821_38292,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_095500_69352,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_095611_39776,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_101501_60008,5,0,5,0,0,5,0,0.0,0.0,0.0
20260711_104207_50836,1,0,1,0,0,1,0,0.0,0.0,0.0
positive_object::000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,1,1,0,1,0,0,0,1.0,1.0,0.0
