candidate_id,crop_path,context_crop_path,parent_instance_id,parent_content_id,parent_path,parent_relative_path,bbox_id,bbox,bbox_x,bbox_y,bbox_w,bbox_h,screen_state,bbox_label,bbox_class,source_session,proposal_source,weak_label,review_status
rb_000001,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000001.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000001_context_1_5x.png,file_a669b1e30509f098,asset_0da9172d7e75e61e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,510,"[413.7674418604651, 351.25581395348837, 86.32558139534882, 29.767441860465112]",413.767,351.256,86.326,29.767,actionable,positive,action_target,ads2_click_success_20260718_085017_085,free_ad_template,weak_action_target,pending_visual_family_review
rb_000002,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000002.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000002_context_1_5x.png,file_a669b1e30509f098,asset_0da9172d7e75e61e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,511,"[555.1627906976744, 352.74418604651163, 80.37209302325584, 26.790697674418595]",555.163,352.744,80.372,26.791,actionable,positive,action_target,ads2_click_success_20260718_085017_085,free_ad_template,weak_action_target,pending_visual_family_review
rb_000003,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000003.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000003_context_1_5x.png,file_a669b1e30509f098,asset_0da9172d7e75e61e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,512,"[693.5813953488372, 349.7674418604651, 83.34883720930236, 31.25581395348837]",693.581,349.767,83.349,31.256,actionable,positive,action_target,ads2_click_success_20260718_085017_085,free_ad_template,weak_action_target,pending_visual_family_review
rb_000004,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000004.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000004_context_1_5x.png,file_a669b1e30509f098,asset_0da9172d7e75e61e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085017_085\pre_click.png,513,"[832.0, 351.25581395348837, 89.30232558139528, 29.767441860465112]",832.000,351.256,89.302,29.767,actionable,positive,action_target,ads2_click_success_20260718_085017_085,free_ad_template,weak_action_target,pending_visual_family_review
rb_000005,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000005.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000005_context_1_5x.png,file_65c9e5dd20cb3371,asset_d1e9fdf45e469caf,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085034_878\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085034_878\pre_click.png,576,"[900.4651162790698, 13.395348837209301, 50.604651162790674, 40.18604651162791]",900.465,13.395,50.605,40.186,actionable,positive,action_target,ads2_click_success_20260718_085034_878,close_template,weak_action_target,pending_visual_family_review
rb_000006,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000006.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000006_context_1_5x.png,file_99efc798e930d2d1,asset_bb2b366ff1d4b2a7,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085039_658\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085039_658\pre_click.png,379,"[418.2325581395349, 139.90697674418604, 120.55813953488376, 35.720930232558146]",418.233,139.907,120.558,35.721,actionable,positive,action_target,ads2_click_success_20260718_085039_658,got_template,weak_action_target,pending_visual_family_review
rb_000007,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000007.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000007_context_1_5x.png,file_979e903430aea95d,asset_865c30d9c720318e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,514,"[418.2325581395349, 349.7674418604651, 86.32558139534882, 29.767441860465112]",418.233,349.767,86.326,29.767,actionable,positive,action_target,ads2_click_success_20260718_085045_813,free_ad_template,weak_action_target,pending_visual_family_review
rb_000008,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000008.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000008_context_1_5x.png,file_979e903430aea95d,asset_865c30d9c720318e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,515,"[555.1627906976744, 352.74418604651163, 80.37209302325584, 26.790697674418595]",555.163,352.744,80.372,26.791,actionable,positive,action_target,ads2_click_success_20260718_085045_813,free_ad_template,weak_action_target,pending_visual_family_review
rb_000009,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000009.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000009_context_1_5x.png,file_979e903430aea95d,asset_865c30d9c720318e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,516,"[693.5813953488372, 349.7674418604651, 83.34883720930236, 31.25581395348837]",693.581,349.767,83.349,31.256,actionable,positive,action_target,ads2_click_success_20260718_085045_813,free_ad_template,weak_action_target,pending_visual_family_review
rb_000010,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000010.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\context_1_5x\rb_000010_context_1_5x.png,file_979e903430aea95d,asset_865c30d9c720318e,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_085045_813\pre_click.png,517,"[832.0, 351.25581395348837, 89.30232558139528, 29.767441860465112]",832.000,351.256,89.302,29.767,actionable,positive,action_target,ads2_click_success_20260718_085045_813,free_ad_template,weak_action_target,pending_visual_family_review
