reason,score,seeds_wrong,fp_count,fn_count,max_wrong_prob,min_true_prob,instance_id,content_id,families,relative_path,image_path,seed_details
train_repeated_model_disagreement,38,3,3,2,0.7399,0.2058,file_b4be82e5125f9663,asset_48f6dabf3e612bc9,play_triangle,ads2\assets\1_templates\free_ad_icons\free_ad_1.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00055_play_triangle_asset_48f6dabf3e612bc9.png,s42 true=play_triangle pred=free top=free:0.66 ; s43 true=play_triangle pred=arrow|free|play_triangle top=free:0.65 ; s44 true=play_triangle pred=arrow|free top=free:0.74
train_repeated_model_disagreement,38,3,3,2,0.7399,0.2058,file_804b831df127544b,asset_48f6dabf3e612bc9,play_triangle,ads2\assets\1_templates\備份\free_ad_1.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00072_play_triangle_asset_48f6dabf3e612bc9.png,s42 true=play_triangle pred=free top=free:0.66 ; s43 true=play_triangle pred=arrow|free|play_triangle top=free:0.65 ; s44 true=play_triangle pred=arrow|free top=free:0.74
train_repeated_model_disagreement,38,3,3,3,0.8824,0.0893,file_cb080ed8eb8801eb,asset_bddb4860eddcb148,play_triangle,ads2\assets\1_templates\備份\got_8.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00075_play_triangle_asset_bddb4860eddcb148.png,s42 true=play_triangle pred=free top=free:0.83 ; s43 true=play_triangle pred=free top=free:0.84 ; s44 true=play_triangle pred=free top=free:0.88
train_repeated_model_disagreement,38,3,3,3,0.7753,0.2260,file_c590ebbfe9db64ca,asset_6802a78b1f5efa66,x_mark,ads2\assets\1_templates\close_icons\close_x_valor.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00053_x_mark_asset_6802a78b1f5efa66.png,s42 true=x_mark pred=google_play|got top=got:0.78 ; s43 true=x_mark pred=arrow|google_play|got top=got:0.64 ; s44 true=x_mark pred=google_play|got top=google_play:0.72
train_repeated_model_disagreement,38,3,3,3,0.7658,0.2197,file_1b25b331d8c51571,asset_4b460828e7852a16,x_mark,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000121.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00196_x_mark_asset_4b460828e7852a16.png,s42 true=x_mark pred=arrow top=arrow:0.55 ; s43 true=x_mark pred=arrow top=arrow:0.57 ; s44 true=x_mark pred=arrow top=arrow:0.77
train_repeated_model_disagreement,35,3,3,0,0.7162,0.5727,file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,arrow,ads2\assets\1_templates\close_icons\close_10.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00017_arrow_asset_5b3fbaac886e6b1c.png,s42 true=arrow pred=arrow|x_mark top=x_mark:0.72 ; s43 true=arrow pred=arrow|x_mark top=arrow:0.62 ; s44 true=arrow pred=arrow|x_mark top=arrow:0.66
train_repeated_model_disagreement,35,3,3,0,0.7344,0.7329,file_910f6d13ad48178b,asset_814457f65714bfe8,arrow,ads2\assets\1_templates\close_icons\close_11.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00018_arrow_asset_814457f65714bfe8.png,s42 true=arrow pred=arrow|free|google_play|got|next|x_mark top=free:0.73 ; s43 true=arrow pred=arrow|free|got|next top=arrow:0.76 ; s44 true=arrow pred=arrow|got|next top=arrow:0.85
train_repeated_model_disagreement,35,3,3,1,0.7690,0.3909,file_92bf9affe27f402d,asset_0ef553bd6095965f,arrow,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000149.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00224_arrow_asset_0ef553bd6095965f.png,s42 true=arrow pred=arrow|free top=free:0.77 ; s43 true=arrow pred=arrow|free top=free:0.76 ; s44 true=arrow pred=free top=free:0.61
train_repeated_model_disagreement,35,3,3,0,0.7077,0.6312,file_4f0533509dde0ef4,asset_83893a37ecb22a22,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095949_902\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_01004_arrow_asset_83893a37ecb22a22.png,s42 true=arrow pred=arrow|x_mark top=arrow:0.76 ; s43 true=arrow pred=arrow|next|x_mark top=x_mark:0.70 ; s44 true=arrow pred=arrow|next|x_mark top=arrow:0.86
train_repeated_model_disagreement,35,3,3,0,0.7279,0.6788,file_1c610c21e82f0a3b,asset_3e2ac2ef5377fc3b,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102508_020\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_01033_arrow_asset_3e2ac2ef5377fc3b.png,s42 true=arrow pred=arrow|x_mark top=arrow:0.74 ; s43 true=arrow pred=arrow|x_mark top=x_mark:0.69 ; s44 true=arrow pred=arrow|x_mark top=arrow:0.86
