instance_id,content_id,relative_path,event_id,review_reasons,proposal_source,template_name,expected_family,expected_p,top_family,top_p,suggestion_family,bbox_crop
file_6327bb95c798659f,asset_83b91869426baa8c,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081651_911\crops\bbox.png,20260723_081651_911,,free_ad_template,close_26.png,free,0.9950855573018392,free,0.9950855573018392,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081651_911\crops\bbox.png
file_b238e5736bf5575a,asset_4941f776c638c56a,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081716_285\crops\bbox.png,20260723_081716_285,,close_template,close_2.png,x_mark,0.9726918538411459,x_mark,0.9726918538411459,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081716_285\crops\bbox.png
file_2c8b21c7be401ff3,asset_ceda58e2821848b8,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081721_029\crops\bbox.png,20260723_081721_029,,got_template,got2.png,got,0.9955281615257263,got,0.9955281615257263,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081721_029\crops\bbox.png
file_6834dd510f935bcf,asset_83b91869426baa8c,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081727_133\crops\bbox.png,20260723_081727_133,,free_ad_template,close_26.png,free,0.9950855573018392,free,0.9950855573018392,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081727_133\crops\bbox.png
file_b65a0ee4eed4335a,asset_90ce48e4e47a01c1,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081744_847\crops\bbox.png,20260723_081744_847,,close_template,close_2.png,x_mark,0.9877925316492716,x_mark,0.9877925316492716,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081744_847\crops\bbox.png
file_f214b44ee276c148,asset_4c96074450d96aa7,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081749_615\crops\bbox.png,20260723_081749_615,,got_template,got2.png,got,0.9945354262987772,got,0.9945354262987772,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081749_615\crops\bbox.png
file_82bf821c96794edc,asset_f969550042dd8a5c,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081755_724\crops\bbox.png,20260723_081755_724,,free_ad_template,close_26.png,free,0.9946320652961731,free,0.9946320652961731,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081755_724\crops\bbox.png
file_f4c478e2ba581c51,asset_324bfa5f5548285f,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081813_449\crops\bbox.png,20260723_081813_449,,close_template,close_2.png,x_mark,0.9972712794939677,x_mark,0.9972712794939677,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081813_449\crops\bbox.png
file_699bc50ec262b6f1,asset_4c52e95d4981954e,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081818_251\crops\bbox.png,20260723_081818_251,,got_template,got2.png,got,0.9980555176734924,got,0.9980555176734924,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081818_251\crops\bbox.png
file_8bd8d553dc04d90a,asset_0f62c98e529b3d06,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081824_840\crops\bbox.png,20260723_081824_840,,free_ad_template,free_ad_3.png,free,0.9915729562441508,free,0.9915729562441508,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081824_840\crops\bbox.png
file_4a7b16eba7683a24,asset_33cda637775e1835,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081842_418\crops\bbox.png,20260723_081842_418,,close_template,close_2.png,x_mark,0.9677158792813619,x_mark,0.9677158792813619,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081842_418\crops\bbox.png
file_89705b6268b3a8f4,asset_6d74e6ad52972429,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081847_181\crops\bbox.png,20260723_081847_181,,got_template,got2.png,got,0.9982853531837463,got,0.9982853531837463,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081847_181\crops\bbox.png
file_c6abfe77d4914a4e,asset_cd28afeb00146427,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081853_682\crops\bbox.png,20260723_081853_682,,free_ad_template,free_ad_3.png,free,0.9962461789449056,free,0.9962461789449056,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081853_682\crops\bbox.png
file_0b70d41dcdae503b,asset_76b5b4121466e091,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081911_381\crops\bbox.png,20260723_081911_381,,close_template,close_2.png,x_mark,0.9958480596542358,x_mark,0.9958480596542358,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081911_381\crops\bbox.png
file_8760132e968c587d,asset_ca9b86be70183953,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081916_181\crops\bbox.png,20260723_081916_181,,got_template,got2.png,got,0.9987132946650187,got,0.9987132946650187,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081916_181\crops\bbox.png
file_7a32f56d6834ae25,asset_cd28afeb00146427,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081922_663\crops\bbox.png,20260723_081922_663,,free_ad_template,free_ad_3.png,free,0.9962461789449056,free,0.9962461789449056,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081922_663\crops\bbox.png
file_b57b7c61ee5b70dc,asset_3603e8e8712294aa,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081940_458\crops\bbox.png,20260723_081940_458,,close_template,close_2.png,x_mark,0.9961690505345663,x_mark,0.9961690505345663,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081940_458\crops\bbox.png
file_03f0d2fce36c4057,asset_4881809b04c16d07,vision_platform\ads\runtime_collection\click_success\click_success_20260723_081945_250\crops\bbox.png,20260723_081945_250,,got_template,got2.png,got,0.9990683595339457,got,0.9990683595339457,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_081945_250\crops\bbox.png
file_ef10160d49ea8def,asset_d39eaaf081574a79,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082246_540\crops\bbox.png,20260723_082246_540,,free_ad_template,close_26.png,free,0.9861062367757162,free,0.9861062367757162,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082246_540\crops\bbox.png
file_76c02a4c88d8a73b,asset_7eabd8aa5bc4513a,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082304_865\crops\bbox.png,20260723_082304_865,,got_template,got2.png,got,0.9779738585154215,got,0.9779738585154215,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082304_865\crops\bbox.png
file_8d160cb9d4d0afb7,asset_fac9e420afb5975f,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082310_320\crops\bbox.png,20260723_082310_320,,free_ad_template,close_26.png,free,0.9984451532363892,free,0.9984451532363892,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082310_320\crops\bbox.png
file_95e47286cacb2011,asset_76b5b4121466e091,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082328_157\crops\bbox.png,20260723_082328_157,,close_template,close_2.png,x_mark,0.9958480596542358,x_mark,0.9958480596542358,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082328_157\crops\bbox.png
file_2161e156d667054d,asset_e08ed6f78913c9b1,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082333_146\crops\bbox.png,20260723_082333_146,,got_template,got2.png,got,0.9855729738871256,got,0.9855729738871256,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082333_146\crops\bbox.png
file_8bc8ca991cf2562c,asset_fac9e420afb5975f,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082338_585\crops\bbox.png,20260723_082338_585,,free_ad_template,close_26.png,free,0.9984451532363892,free,0.9984451532363892,free,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082338_585\crops\bbox.png
file_b353a0214b9bdacd,asset_36e63d1e55168e8f,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082356_528\crops\bbox.png,20260723_082356_528,,close_template,close_2.png,x_mark,0.9928488532702128,x_mark,0.9928488532702128,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082356_528\crops\bbox.png
file_752cb2d0724a0835,asset_e5827795dac12e63,vision_platform\ads\runtime_collection\click_success\click_success_20260723_082401_575\crops\bbox.png,20260723_082401_575,,got_template,got2.png,got,0.9895454247792562,got,0.9895454247792562,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260723_082401_575\crops\bbox.png
