group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
asset_00431f24c5580203,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_00f55fd3bf8668a0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_02252e6266678058,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_034600b1dd4d8b4b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_059b491769442cf4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0617e092e34e98e0,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_078b4038fd045d74,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_095072812183003a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0a217fd21dc7063f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0aa476d5b7120603,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0cf037e096857467,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_0dd440bcca20ea80,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0eb388e8cd2992d9,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_0f6a8219657a3273,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_1306b3f937bb5fea,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_13eb8efc949649eb,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_15b474fcc3c97377,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_15ec0d9790f31e6f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1681b89025c9902b,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_169cc7d046e81345,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_16c54b17c7276938,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1801f34c576c4047,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_18e8ba0348ebe540,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_19674064014835d4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1ac388c6a4e5dda8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_2055f74f2afad9a7,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_2067661ee76c8684,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_21f642c8a9b4fc31,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_22fb5506b2ad638a,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_236138ca90eca109,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_25a22f5df74ffae1,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_25a46043547435c1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_28434918920405bd,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_2b8e3c3760633a89,1,0,1,0,0,1,0,0.0,0.0,0.0
