fold,heldout_original_name,heldout_p_close,heldout_pass,negative_tn,negative_fp,false_positive_count,false_positive_original_names
1,000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,0.684456,1,29,0,0,
2,ad_issue_20260606_042353_roi_0.png,0.978988,1,29,0,0,
3,ad_issue_20260606_042429_roi_0.png,0.888800,1,29,0,0,
4,ad_issue_20260606_043419_roi_0.png,0.953801,1,29,0,0,
5,ad_issue_20260606_044653_roi_0.png,0.999863,1,29,0,0,
6,ad_issue_20260606_044717_roi_0.png,0.996059,1,29,0,0,
7,ad_issue_20260606_052002_roi_15.png,0.995878,1,29,0,0,
8,ad_issue_20260606_052302_roi_0.png,0.999619,1,29,0,0,
9,cand_000001.png,0.575220,1,29,0,0,
10,close_12.png,0.658393,1,29,0,0,
11,close_14.png,0.582740,1,29,0,0,
12,close_17.png,0.998767,1,29,0,0,
13,close_2.png,0.002132,0,29,0,0,
14,close_24.png,0.996137,1,29,0,0,
15,close_25.png,0.890595,1,29,0,0,
16,close_7.png,0.999266,1,29,0,0,
17,close_x_end.png,0.953642,1,29,0,0,
18,current入口_20260711_082942.png,0.116957,0,29,0,0,
