seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,18,17,9,160,1,0.6538,0.9444,0.7727
42,play_triangle,30,30,2,155,0,0.9375,1.0,0.9677
42,google_play,1,1,1,185,0,0.5,1.0,0.6667
42,next,2,0,15,170,2,0.0,0.0,0.0
42,free,8,3,0,179,5,1.0,0.375,0.5455
42,got,35,33,0,152,2,1.0,0.9429,0.9706
42,arrow,13,9,15,159,4,0.375,0.6923,0.4865
43,x_mark,18,18,11,158,0,0.6207,1.0,0.766
43,play_triangle,30,2,2,155,28,0.5,0.0667,0.1176
43,google_play,1,1,2,184,0,0.3333,1.0,0.5
43,next,2,0,3,182,2,0.0,0.0,0.0
43,free,8,3,0,179,5,1.0,0.375,0.5455
43,got,35,33,0,152,2,1.0,0.9429,0.9706
43,arrow,13,11,17,157,2,0.3929,0.8462,0.5366
44,x_mark,18,18,10,159,0,0.6429,1.0,0.7826
44,play_triangle,30,30,2,155,0,0.9375,1.0,0.9677
44,google_play,1,1,1,185,0,0.5,1.0,0.6667
44,next,2,0,7,178,2,0.0,0.0,0.0
44,free,8,3,0,179,5,1.0,0.375,0.5455
44,got,35,33,0,152,2,1.0,0.9429,0.9706
44,arrow,13,10,14,160,3,0.4167,0.7692,0.5405
