bbox_id,instance_id,content_id,original_path,relative_path,x,y,w,h,vision_domain,asset_type,representation,screen_state,candidate_label,sample_role,sub_role,class_name,class_purpose,label,note,created_at,updated_at
192,file_00512e8371693dcd,asset_6c4e9a403f6ca6a4,D:\Projects\adb_vl\ads2\assets\3_reference_screens\ad_issue_20260606_044156.png,ads2\assets\3_reference_screens\ad_issue_20260606_044156.png,24.120603015075403,63.91959798994978,31.356783919598,24.120603015075375,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,,action_target,detector,positive,,2026-07-12T09:06:14.911266+00:00,2026-07-12T09:06:22.390909+00:00
92,file_00664230c15bf43f,asset_4a60143af235e4d4,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260611_111718_edit.png,ads2\assets\2_communication\manual_rescue_20260611_111718_edit.png,557.1859296482412,354.572864321608,33.768844221105496,22.9145728643216,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T07:40:32.410667+00:00,2026-07-12T07:40:32.424382+00:00
84,file_02c2144cc30cfbe9,asset_fbfb7241e62d249b,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260610_153906_edit.png,ads2\assets\2_communication\manual_rescue_20260610_153906_edit.png,406.43216080402,401.60804020100494,49.44723618090461,26.532663316582898,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T07:39:08.045747+00:00,2026-07-12T07:39:26.552520+00:00
220,file_039739cdd6323385,asset_d2e4d9e90ef48dc6,D:\Projects\adb_vl\ads2\assets\3_reference_screens\ad_issue_20260606_084107.png,ads2\assets\3_reference_screens\ad_issue_20260606_084107.png,25.229960578186596,23.968462549277266,131.1957950065703,23.968462549277266,ads,uncertain,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T09:22:26.796795+00:00,2026-07-12T09:22:26.821865+00:00
178,file_04613673a2a00b41,asset_8ca75c26bac1b84b,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260711_140632_edit.png,ads2\assets\2_communication\manual_rescue_20260711_140632_edit.png,377.4874371859296,290.65326633165824,34.9748743718593,13.266331658291449,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,free,action_target,detector,positive,,2026-07-12T09:04:30.486547+00:00,2026-07-12T09:04:30.486547+00:00
24,file_0cc3b419504e6c6d,asset_31248d6ed529be48,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_101333_edit.png,ads2\assets\2_communication\manual_rescue_20260607_101333_edit.png,900.9045226130653,24.120603015075375,44.62311557788939,24.120603015075375,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,,action_target,detector,positive,,2026-07-12T07:24:36.736407+00:00,2026-07-12T07:24:36.751547+00:00
142,file_0ff60244c2316f2f,asset_45b271ddcf104c5f,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260625_144927_edit.png,ads2\assets\2_communication\manual_rescue_20260625_144927_edit.png,908.1407035175879,22.914572864321606,36.18090452261299,20.50251256281407,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,,action_target,detector,positive,,2026-07-12T08:56:57.478942+00:00,2026-07-12T08:56:57.478942+00:00
81,file_100daa938b119d8f,asset_0062ef6acaf85735,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260610_151332_original.png,ads2\assets\2_communication\manual_rescue_20260610_151332_original.png,809.2462311557788,467.9396984924623,49.44723618090461,26.532663316582898,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T07:38:59.995790+00:00,2026-07-12T07:38:59.995790+00:00
199,file_150ad0c752d1b6a2,asset_54f7e7a96285b7ed,D:\Projects\adb_vl\ads2\assets\3_reference_screens\ad_issue_20260606_045709.png,ads2\assets\3_reference_screens\ad_issue_20260606_045709.png,27.752956636005255,23.968462549277266,123.62680683311433,20.183968462549277,ads,uncertain,raw,actionable,uncertain,uncertain,,action_target,detector,positive,,2026-07-12T09:07:38.656548+00:00,2026-07-12T09:07:38.656548+00:00
52,file_154d7198b0daa7f8,asset_9a6df08755b20a33,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_161637_edit.png,ads2\assets\2_communication\manual_rescue_20260607_161637_edit.png,32.552704336399465,27.902318002628114,64.07198948751642,12.401030223390272,ads,uncertain,raw,actionable,uncertain,uncertain,,action_target,detector,positive,,2026-07-12T07:34:02.752422+00:00,2026-07-12T07:34:02.752422+00:00
