group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
20260606_044717_roi,1,1,0,1,0,0,0,1.0,1.0,0.0
20260711_012512_50192,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_082942,1,1,0,1,0,0,0,1.0,1.0,0.0
20260711_083159_41740,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_093513_29888,9,0,9,0,1,8,0,0.0,0.0,0.1111111111111111
20260711_093821_38292,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_095142_4644,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_100541_44936,5,0,5,0,0,5,0,0.0,0.0,0.0
20260711_101710_60008,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_104622_54288,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_105305_54776,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_110114_31644,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_111953_39056,11,0,11,0,0,11,0,0.0,0.0,0.0
20260711_114715_58348,1,0,1,0,1,0,0,0.0,0.0,1.0
