candidate_id,crop_path,source_screen,source_instance_id,source_content_id,source_session,bbox,bbox_x,bbox_y,bbox_w,bbox_h,proposal_source,proposal_score,initial_label,review_status,max_iou_positive
hn_000001,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000001.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads2\assets\2_communication,"[720, 314, 14, 11]",720,314,14,11,geometry_close_hard_negative,0.9545842445826852,pending_non_action_candidate,pending,0.0000
hn_000095,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000095.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_144904_edit.png,file_930ab51f7142d475,asset_278755527ca1a3e5,ads2\assets\2_communication,"[463, 369, 11, 11]",463,369,11,11,geometry_close_hard_negative,0.9464134881697013,pending_non_action_candidate,pending,0.0000
hn_000103,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000103.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_144904_original.png,file_e0303f06c1dea025,asset_517dffb127e8e353,ads2\assets\2_communication,"[463, 369, 11, 11]",463,369,11,11,geometry_close_hard_negative,0.9464134881697013,pending_non_action_candidate,pending,0.0000
hn_000111,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000111.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145346_edit.png,file_f79203642ccdd8a7,asset_54284dbf33086654,ads2\assets\2_communication,"[463, 369, 11, 11]",463,369,11,11,geometry_close_hard_negative,0.9464134881697013,pending_non_action_candidate,pending,0.0000
hn_000119,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000119.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145346_original.png,file_e277a86da364ce73,asset_7711801e12745d2a,ads2\assets\2_communication,"[463, 369, 11, 11]",463,369,11,11,geometry_close_hard_negative,0.9464134881697013,pending_non_action_candidate,pending,0.0000
hn_000083,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000083.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085540_edit.png,file_921bc8370c557d92,asset_952d77d5dade7206,ads2\assets\2_communication,"[357, 194, 17, 11]",357,194,17,11,geometry_close_hard_negative,0.9365577989510455,pending_non_action_candidate,pending,0.0000
hn_000089,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000089.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085540_original.png,file_fdb8b473ec271a1b,asset_105b675b3aaac632,ads2\assets\2_communication,"[357, 194, 17, 11]",357,194,17,11,geometry_close_hard_negative,0.9365577989510455,pending_non_action_candidate,pending,0.0000
hn_000084,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000084.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085540_edit.png,file_921bc8370c557d92,asset_952d77d5dade7206,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9287968234783232,pending_non_action_candidate,pending,0.0000
hn_000090,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000090.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085540_original.png,file_fdb8b473ec271a1b,asset_105b675b3aaac632,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9287968234783232,pending_non_action_candidate,pending,0.0000
hn_000008,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000008.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_225520.png,file_d5b98b055872b01a,asset_750d55c7609ca258,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9244731871870149,pending_non_action_candidate,pending,0.0000
hn_000015,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000015.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9244731871870149,pending_non_action_candidate,pending,0.0000
hn_000022,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000022.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9244731871870149,pending_non_action_candidate,pending,0.0000
hn_000127,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000127.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145608_edit.png,file_c888bac3e43fdb07,asset_cdf3bcbb678fb092,ads2\assets\2_communication,"[457, 211, 14, 11]",457,211,14,11,geometry_close_hard_negative,0.913581157575769,pending_non_action_candidate,pending,0.0000
hn_000131,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_full_40\crops\hn_000131.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145608_original.png,file_836b44de324f1b1a,asset_88d4e00731bb83a4,ads2\assets\2_communication,"[457, 211, 14, 11]",457,211,14,11,geometry_close_hard_negative,0.913581157575769,pending_non_action_candidate,pending,0.0000
