group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
asset_003f01a0aee6b9bc,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_005771abe8b9ba83,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_00f02ef77adb18c4,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_02ef524c795ef9e6,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_058d38681e45d169,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_071ca7bff74e053c,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_080503e7153c2869,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_095072812183003a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0ea0408870ae56b9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0f4b79a2a75eac60,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0f6a8219657a3273,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_1360c9b5bc0bedfe,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_13eb8efc949649eb,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_13fae01f38c68d9b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_14f5f5dde25f2d03,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_15b474fcc3c97377,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_161fe2d19fd904c5,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_169cc7d046e81345,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_18309716c7540c82,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_183568ccccf9b17c,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_1849d4667c269064,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_18e8ba0348ebe540,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_19dde564f88b8a06,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1b7294ee603b113e,12,0,12,0,0,12,0,0.0,0.0,0.0
asset_1e6538c5c6f9e8f7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1fa6ee24f54f60d3,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1fa8293bf8afa4ea,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1fcf7703d7603be0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_2032cbb4ce014ae3,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_20d188b1bf7c277a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_236354e51675ea0d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_246757dff465857e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_24ab4b16dea41a95,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_25a22f5df74ffae1,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_2c0f1d3486bfd22c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_2e4b892f31ce698b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_30c8ee229aa044f4,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_324d64920bce152a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_34c38e9f001fb40e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3666987badf94225,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_36b1b5a10f89b840,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_389445e37698af62,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3911db3a08d8407c,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_3913a7882146eec5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_394b7c624bc6107b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3c7a1d3ef2876b29,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3d092f5cbb66ff78,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3f3c200aac73e244,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3f76ae4068c4ab21,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_40053312ffb0e735,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_41a8c5c48f4afce1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_443b49b62be7e011,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_44a0f8435fcdf21e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_44aa502360ac075b,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_44cce56142a53ecb,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_46d33340a95faf89,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_472bfd838b165cc8,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_48f6dabf3e612bc9,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_49c97fb9b3a58796,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4aa8c4d04cd47df9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4b13bba290a85eab,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4cee2ed92030b8f4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4d316cadf0811d0a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4df2d1851196d311,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4e3175175405854a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4e6b0076cf9cba79,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_51a3fa89708625b3,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_51c6fc7eb601d595,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_53b92abf842c332f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_53debd4fe80fc84a,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_54bc08d83f0e897e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_554fb5bb2bb8c2c7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5559f27f5896de0b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_565f2f8c61c441ed,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_56d5e534db9e3019,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5b3fbaac886e6b1c,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_5c41eb2044704344,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_5d48d448576b133c,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_5d603996821c6630,2,0,2,0,0,2,0,0.0,0.0,0.0
asset_5fb626f298c90053,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5fe901a15d1d22c0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_61733e86a247a344,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_649d289a08c9fe33,2,2,0,0,0,0,2,0.0,0.0,0.0
asset_649eac88c9285fb0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_64cbc0a8bb929048,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_65b07531441c999d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_65cc9e2d3cc62a1d,3,0,3,0,0,3,0,0.0,0.0,0.0
asset_6610b5dfb445dd5f,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_677508292f27ca92,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_67f638e9c40b3b4e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_683215c4ec99223d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6c1c389ccb299d87,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6c4361db35dc6101,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6c6e85a1c2b6af88,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6c7b399ab36ef4e1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6ccbdd66b93bf61e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6f4b0c9027e8882f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_72c839c107ebef49,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_72f38e2e8cf36246,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7513f11f0e141a8c,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_769900ae4b66b82c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_77b23536ead19af5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_783dd3ed0fff67f4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7acc39b655a0bda9,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_7c03349514be1157,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7effdcd52ed3801b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7fb7bd1919b179e8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_832711dbd218c139,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_86bf110180ee25d5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_87c0b9d00c325ec1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8873d291854be2d1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_88ed6cdd8cc5a025,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8abbf114fe53eebd,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_8b45f00060247e6f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8c6b4f5a25172b19,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_8c7cd6b1a0962dbc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8edd3893c9aee092,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8f85cf781a2c4892,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_901b09bfd58939b9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9066770dd38f6fdb,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9181230632ec3bda,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_927b02d71a0d5e87,2,2,0,0,0,0,2,0.0,0.0,0.0
asset_959ff3cdd6771a3f,1,1,0,1,0,0,0,1.0,1.0,0.0
