source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
ads2/assets/1_templates/close_icons,asset_ae17f2d94d0c0ab9,10,1,close,0.998335,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00050_close_asset_ae17f2d94d0c0ab9.png,,
ads2/assets/1_templates/free_ad_icons,asset_48f6dabf3e612bc9,1,1,close,0.768621,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01034_close_asset_48f6dabf3e612bc9.png,,
ads2/assets/1_templates/備份,asset_ca2b6cba35c5b2d0,4,1,close,0.999110,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00054_close_asset_ca2b6cba35c5b2d0.png,,
ads2/assets/2_communication,asset_7513f11f0e141a8c,10,1,close,0.997997,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00075_close_asset_7513f11f0e141a8c.png,,
ads2/assets/review_crops,asset_44cce56142a53ecb,3,1,close,0.999110,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00091_close_asset_44cce56142a53ecb.png,,
ads2/assets/review_crops/close_glyph_candidates/sample,asset_bfbc786a951d56b0,1,0,not_close,0.008430,0,0,0,0,1,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00642_not_close_asset_bfbc786a951d56b0.png,,
ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,asset_a8d5814c47c4ff46,97,0,not_close,0.666402,1,1,0,0,0,1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00440_not_close_asset_a8d5814c47c4ff46.png,,
ads2/assets/review_crops/close_glyph_candidates/sample/reject_candidates,asset_67f638e9c40b3b4e,4,0,not_close,0.060869,0,0,0,0,1,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00646_not_close_asset_67f638e9c40b3b4e.png,,
batch_full_40,asset_b12a5682aa09c91e,40,0,not_close,0.098830,0,0,0,0,1,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00937_not_close_asset_b12a5682aa09c91e.png,,
click_success_20260713_080508_706,asset_bd0db35d86d5fa07,1,1,close,0.999190,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01069_close_asset_bd0db35d86d5fa07.png,,
click_success_20260713_080907_353,asset_ef8824e2b0e42aaf,1,1,close,0.714994,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01072_close_asset_ef8824e2b0e42aaf.png,,
