p_x_mark,families,instance_id,content_id,image_path,relative_path,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
0.9081736207008362,arrow,file_993270f6ad69f631,asset_b3e20e7760a44b0a,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00855_arrow_asset_b3e20e7760a44b0a.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\crops\bbox.png,0.007790319621562958,0.07596493512392044,0.03858555480837822,0.08717626333236694,0.05990033596754074,0.9827254414558411
0.902194082736969,arrow,file_c88fffda1bde6376,asset_fc192034daaaf1b7,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00041_arrow_asset_fc192034daaaf1b7.png,ads2\assets\1_templates\close_icons\close_back_gp.png,0.01676967926323414,0.1502743512392044,0.13540615141391754,0.02643982134759426,0.02978941984474659,0.9379675984382629
0.8966678977012634,arrow,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00005_arrow_asset_759712a0fa58d9bb.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,0.02070591039955616,0.15581455826759338,0.11019213497638702,0.02222825214266777,0.025355016812682152,0.9159893989562988
0.7969390749931335,arrow,file_80933b388bcd6724,asset_52eb220e60027c56,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00866_arrow_asset_52eb220e60027c56.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080814_562\crops\bbox.png,0.00447566993534565,0.015595239587128162,0.015542292036116123,0.04389161616563797,0.0011228770017623901,0.9822001457214355
0.7969390749931335,arrow,file_12942deaafab87b9,asset_52eb220e60027c56,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01057_arrow_asset_52eb220e60027c56.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_132413_787\crops\bbox.png,0.00447566993534565,0.015595239587128162,0.015542292036116123,0.04389161616563797,0.0011228770017623901,0.9822001457214355
0.7307080626487732,negative,file_28db17c1fdc6810f,asset_13fae01f38c68d9b,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01039_negative_asset_13fae01f38c68d9b.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102840_468\crops\bbox.png,0.08771610260009766,0.3636690378189087,0.0966142788529396,0.2942735552787781,0.13388633728027344,0.3800699710845947
0.7159112691879272,arrow,file_acb5f507ac5a49a9,asset_a267329783339e3b,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00998_arrow_asset_a267329783339e3b.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095453_234\crops\bbox.png,0.0006575333536602557,0.002337518846616149,0.013237015344202518,0.10477913916110992,0.0010091100120916963,0.9771620631217957
0.7099843621253967,arrow,file_3aaed400e7ccbc64,asset_7fa875a023c06075,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01030_arrow_asset_7fa875a023c06075.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102419_119\crops\bbox.png,0.008027888834476471,0.01669810339808464,0.05292937532067299,0.033470794558525085,0.02316780760884285,0.9458844065666199
0.7035635113716125,arrow,file_a54b16efa4d7551a,asset_8524767750bea86e,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00875_arrow_asset_8524767750bea86e.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081144_892\crops\bbox.png,0.02780929021537304,0.06534093618392944,0.04686661437153816,0.07983358949422836,0.015682607889175415,0.9761608242988586
0.7035635113716125,arrow,file_10ad0c35675aa5ca,asset_8524767750bea86e,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01088_arrow_asset_8524767750bea86e.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_163040_449\crops\bbox.png,0.02780929021537304,0.06534093618392944,0.04686661437153816,0.07983358949422836,0.015682607889175415,0.9761608242988586
0.6953758597373962,arrow,file_1c610c21e82f0a3b,asset_3e2ac2ef5377fc3b,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01033_arrow_asset_3e2ac2ef5377fc3b.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102508_020\crops\bbox.png,0.0006082286708988249,0.0020825217943638563,0.010642118752002716,0.10992777347564697,0.0009535449207760394,0.9757265448570251
0.6818361878395081,arrow,file_c09160be9fefe870,asset_7b1a58c3ef6bea6c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01012_arrow_asset_7b1a58c3ef6bea6c.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100244_003\crops\bbox.png,0.0023545431904494762,0.0032505241688340902,0.007016597781330347,0.2789321839809418,0.010817917995154858,0.9221110343933105
0.659441351890564,arrow,file_3c1dd248079e27eb,asset_22931ff7d50a4007,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00989_arrow_asset_22931ff7d50a4007.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095042_528\crops\bbox.png,0.015741785988211632,0.02816634438931942,0.015286020003259182,0.031121021136641502,0.005197079386562109,0.9591729044914246
