image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,split,group_key,instance_id,content_id,relative_path,is_confirmed_strong_hard_negative,review_status,source_root,pool_status,pool_role,is_none_of_the_above,evaluation_status
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_000.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_140a680396f1b361,asset_synth_next_ctx_5e48db7de7ff6c46,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_001.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_0067a27e34596edc,asset_synth_next_ctx_b4ec864b3f1dd2ae,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_002.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_4886097f2f305120,asset_synth_next_ctx_5b85cc318d38bc21,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_003.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_8cda0dbed086b949,asset_synth_next_ctx_3927133ed505650d,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_004.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_5e500103b3279771,asset_synth_next_ctx_0ce745d51ecd5ee4,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_005.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_ceb7d5ff46c1efc8,asset_synth_next_ctx_5b42581d3dc8a283,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_006.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_abfdd621d1c22805,asset_synth_next_ctx_6c20e4986acdc0a7,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_007.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_7b187d3ec6930686,asset_synth_next_ctx_7510d0998cdafd75,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_008.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_29487166f62ff702,asset_synth_next_ctx_d237f3acb5e3c2b8,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed43_30x\images\synth_next_ctx_file_144f33590c886b45_009.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_144f33590c886b45,file_synth_next_ctx_f73dd75baa4375cb,asset_synth_next_ctx_3a4ab8d0d95ba4f0,ads2\assets\1_templates\close_icons\close_6.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
