image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,split,group_key,instance_id,content_id,relative_path,is_confirmed_strong_hard_negative,review_status,source_root,pool_status,pool_role,is_none_of_the_above,evaluation_status
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_000.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_4ddc070b52ca6ceb,asset_synth_next_ctx_af37fac90da28d32,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_001.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_ee03ef056a278b98,asset_synth_next_ctx_b43aa9595fc554b7,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_002.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_ad6e2b191f8271d0,asset_synth_next_ctx_944c5b7f66f7071e,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_003.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_b7211fcaa974af7c,asset_synth_next_ctx_a0b9a315145832c4,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_004.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_0e9b0b2993cec77c,asset_synth_next_ctx_5204e905e2367822,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_005.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_9ca66dec4fbc66c6,asset_synth_next_ctx_fdfa5b6bf668c21e,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_006.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_30ecfe9af5e7aaf6,asset_synth_next_ctx_2204699d33f5f1cd,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_007.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_b724558cfe21d3d8,asset_synth_next_ctx_11b0d484d04f7385,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_008.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_c0ec7aed3d753c3c,asset_synth_next_ctx_46cebfbf88199423,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_context_recrop_aug\seed42_30x\images\synth_next_ctx_file_8adc86c006864b12_009.png,next,0,0,0,1,0,0,0,train,synthetic_next_context:file_8adc86c006864b12,file_synth_next_ctx_fce8be6db4118ff0,asset_synth_next_ctx_3e850906dae8a39e,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0,synthetic,synthetic_next_context_recrop,trainable,synthetic_next_context_train_only,0,synthetic_train_only_not_for_eval
